Alabama,53.26171875,86.9453125
Alaska,200.4453125,107.37890625
Arizona,94.08984375,109.96484375
Colorado,100.52734375,79.63671875
Florida,126.01171875,109.00390625
Georgia,75.2265625,78.74609375
Indiana,42.85546875,74.078125
Kansas,102.44140625,55.49609375
Maine,50.9140625,80.44921875
Massachusetts,48.05078125,26.51171875
Minnesota,90.96875,102.3984375
New Jersey,18.46484375,42.46484375
North Carolina,122.03125,54.01953125
North Dakota,90.921875,57.07421875
Oklahoma,119.34765625,62.95703125
Pennsylvania,80.390625,52.109375
South Dakota,96.54296875,64.78515625
Texas,193.703125,189.94140625
Wyoming,96.5546875,80.40234375
Connecticut,23.8984375,23.5625
Missouri,92.25,80.3046875
West Virginia,62.05859375,62.2578125
Illinois,55.20703125,98.3671875
New Mexico,96.640625,100.32421875
Arkansas,69.75390625,63.41796875
California,110.98828125,190.1953125
Delaware,14.50390625,24.203125
District of Columbia,2.921875,3.51953125
Hawaii,89.234375,57.63671875
Iowa,83.5625,54.93359375
Kentucky,102.38671875,52.546875
Maryland,62.70703125,31.45703125
Michigan,104.7890625,110.140625
Mississippi,49.671875,85.765625
Montana,141.22265625,89.75
New Hampshire,22.76171875,48.03125
New York,104.41015625,79.7578125
Ohio,57.9296875,66.26953125
Oregon,111.22265625,93.84375
Tennessee,117.82421875,41.0625
Utah,77.75390625,97.625
Virginia,109.7890625,61.23828125
Washington,92.75390625,68.75390625
Wisconsin,74.25,79.90625
Nebraska,114.2421875,57.0859375
South Carolina,70.40234375,53.7421875
Idaho,82.41796875,133.5859375
Nevada,88.046875,136.16796875
Vermont,23.33984375,43.97265625
Louisiana,80.03125,69.62109375
Rhode Island,10.76953125,15.54296875
